100
7749240,cache-references,0.92%
77417,cache-misses,2.83%
30726774,branches,1.13%
1730575,branch-misses,1.54%

jdk7
7854317,cache-references,0.95%
84642,cache-misses,2.94%
31484551,branches,0.78%
1758823,branch-misses,1.55%

classic
7909469,cache-references,1.19%
77346,cache-misses,4.59%
30739586,branches,0.95%
1778484,branch-misses,1.16%

classic_ite
8070690,cache-references,0.55%
80904,cache-misses,2.44%
31664311,branches,0.86%
1787368,branch-misses,1.30%

wild
7973684,cache-references,0.78%
81980,cache-misses,3.18%
31005112,branches,0.94%
1813672,branch-misses,1.17%

yaro
7813724,cache-references,1.16%
78373,cache-misses,3.03%
30837340,branches,0.78%
1741976,branch-misses,1.09%

yaro_opt
7954499,cache-references,1.11%
78725,cache-misses,2.87%
31029234,branches,0.75%
1821543,branch-misses,1.18%

yaro_opt_13
8094189,cache-references,1.36%
84197,cache-misses,3.06%
31772331,branches,1.06%
1847584,branch-misses,1.14%

triple
7970821,cache-references,1.31%
86487,cache-misses,2.79%
31687882,branches,0.52%
1809979,branch-misses,1.22%


300
7881042,cache-references,0.86%
77340,cache-misses,3.97%
30842767,branches,0.62%
1751070,branch-misses,1.56%

jdk7
7824132,cache-references,0.79%
82174,cache-misses,3.78%
31433530,branches,0.71%
1733892,branch-misses,1.05%

classic
7978945,cache-references,1.28%
79047,cache-misses,3.37%
30757332,branches,0.88%
1792652,branch-misses,1.40%

classic_ite
8356857,cache-references,1.10%
78337,cache-misses,3.66%
32169555,branches,1.07%
1818291,branch-misses,1.17%

wild
7977753,cache-references,0.81%
80107,cache-misses,3.58%
31705350,branches,0.75%
1831009,branch-misses,1.27%

yaro
8105347,cache-references,0.91%
77635,cache-misses,3.10%
31228804,branches,0.62%
1774898,branch-misses,1.29%

yaro_opt
8008328,cache-references,0.94%
79882,cache-misses,3.13%
31679473,branches,0.87%
1815556,branch-misses,1.23%

yaro_opt_13
8060180,cache-references,1.10%
78931,cache-misses,2.94%
31802452,branches,0.87%
1795039,branch-misses,1.27%

triple
7886346,cache-references,0.84%
82848,cache-misses,3.93%
31703826,branches,0.75%
1764481,branch-misses,1.33%


1000
8000505,cache-references,0.86%
78754,cache-misses,2.74%
30978174,branches,0.56%
1744260,branch-misses,1.11%

jdk7
8035213,cache-references,1.00%
80034,cache-misses,3.06%
31248584,branches,0.69%
1787052,branch-misses,1.51%

classic
8242369,cache-references,1.06%
85809,cache-misses,4.29%
33337543,branches,1.05%
1861393,branch-misses,1.00%

classic_ite
8975268,cache-references,0.91%
82356,cache-misses,4.40%
34535734,branches,0.78%
1950697,branch-misses,1.31%

wild
8162562,cache-references,1.07%
82247,cache-misses,3.59%
32349147,branches,0.75%
1863364,branch-misses,1.30%

yaro
7949587,cache-references,1.18%
81103,cache-misses,2.93%
31890150,branches,0.89%
1786439,branch-misses,1.39%

yaro_opt
8037430,cache-references,1.11%
82281,cache-misses,3.18%
31993035,branches,1.05%
1826435,branch-misses,1.27%

yaro_opt_13
7982100,cache-references,0.84%
82494,cache-misses,3.02%
31419156,branches,0.84%
1811067,branch-misses,1.05%

triple
8157653,cache-references,1.12%
81982,cache-misses,4.25%
31963691,branches,0.69%
1862860,branch-misses,1.00%


3000
8163637,cache-references,0.99%
81322,cache-misses,2.63%
31911707,branches,0.85%
1789276,branch-misses,1.57%

jdk7
8662015,cache-references,0.97%
87566,cache-misses,4.05%
34526961,branches,1.00%
1905112,branch-misses,2.01%

classic
8580356,cache-references,1.00%
83012,cache-misses,2.35%
35193534,branches,1.06%
1964116,branch-misses,1.48%

classic_ite
10547900,cache-references,1.03%
87183,cache-misses,2.32%
39166534,branches,0.83%
2253770,branch-misses,1.74%

wild
8746632,cache-references,1.15%
79372,cache-misses,2.44%
35228712,branches,1.58%
2037422,branch-misses,1.24%

yaro
8571976,cache-references,1.22%
81583,cache-misses,2.99%
34249136,branches,1.21%
1921326,branch-misses,1.36%

yaro_opt
8599929,cache-references,1.24%
84212,cache-misses,3.14%
34515544,branches,1.31%
1996495,branch-misses,2.12%

yaro_opt_13
8502612,cache-references,1.64%
80884,cache-misses,4.58%
35029583,branches,2.03%
1938380,branch-misses,1.85%

triple
8688351,cache-references,1.13%
85115,cache-misses,3.11%
