x classic classic_ite wild yaro yaro_opt yaro_opt_13 triple
100 8655 8846 932 544 532 588 3262 
300 71129 71708 3449 2281 2242 2482 35996 
1000 707065 709000 13616 9694 9571 10809 365583 
3000 5952033 5957844 47489 35137 34779 38988 3111308 
10000 68361089 68380462 178926 137964 136841 152881 34645447 
30000 ? 604010826 600696 476167 472806 526521 307011809
100000 ? ? 2224830 1807200 1795494 1989971 ?
300000 ? ? 7285992 6033405 5998478 6618257 ?
1000000 ? ? 26552037 22437947 22309344 24437885 ?
3000000 ? ? 85612446 73297688 72911682 79893572 ?
10000000 ? ? 308187923 270240101 268645710 290123008 ?
