x classic classic_ite wild yaro yaro_opt yaro_opt_13 triple
100 1419 1664 1050 1024 985 1139 1131 
300 5961 5582 3809 3841 3665 4048 3915 
1000 22663 27228 15887 15571 15044 16163 17424 
3000 85335 85676 54172 52221 52368 55508 64911 
10000 315797 333718 201232 200732 203129 211635 254867 
30000 1120705 1130958 662265 657936 658909 726329 823038 
100000 3946743 4246286 2477916 2492507 2458097 2682160 3189319 
300000 14006457 14431462 8169244 8059210 8112892 8945045 11174819 
1000000 49385981 55651602 29866551 30326476 29347852 31876993 40190646 
3000000 166467891 168306028 95819798 96099008 97698317 105320900 134573927 
10000000 599640089 599072070 344660762 350245695 342870240 370968713 479120202 
