x jdk7 classic classic_ite wild yaro yaro_opt yaro_opt_13 triple
100 2.558988517220814 3.480208047358195 7.253901475016275 3.9582150894800816 2.1309205900669093 2.5002460759162894 2.0958173022905986 2.733525691095989 
300 12.768752975845336 13.643343968836469 28.382929644266778 19.291088941955568 11.404293763860071 11.133132848866781 12.014408685811361 14.74618868459066 
1000 59.15316669972738 84.36125548299157 125.11101705118817 87.2232618906657 62.00239934132896 58.801210479736326 59.73502980041505 89.59126350402832 
3000 212.77841630452474 290.162093306478 401.3488067993165 308.83601369222004 229.4058175211589 223.69764205525715 217.0221921040853 294.89676636352544 
10000 760.2385539713542 1108.4543929199215 1485.876892838542 1006.1240647216796 874.2423246907551 817.006800349935 847.4743421142581 1018.2744368326825 
30000 2659.782420670572 3733.453009179688 4603.907582747395 3720.8568636718755 2759.509487662761 2552.3651374999995 2858.0495082356765 3325.3776463216145 
100000 10409.599500260416 11628.035730078127 16696.355374739574 12859.988464713542 11119.554434244794 8938.165958984378 10417.745271744794 11930.597155208336 
300000 31071.66354192708 43805.11730260417 56868.688053645856 38886.563181250014 34998.13162005209 31837.726521874993 32205.70986119793 41811.742159375 
1000000 127740.41739479167 162353.33967083335 212463.15133958333 144149.4260395833 126827.20454791666 122492.40982708335 126070.41709791672 150566.13861458335 
3000000 416913.12027083314 526224.8197999999 679887.1612833336 493015.5965 432777.24720833334 401408.2645208333 429035.3611708333 504177.57493750006 
10000000 1513300.9604666668 1959010.856483334 2313779.7467333334 1789021.0141333332 1567501.6676499997 1545858.4933166672 1495350.9895333333 1900490.2388833335 
