x pre jdk7 classic classic_ite wild yaro yaro_opt yaro_opt_13 triple
100 5.63214023054 5.58630485154 5.78564721073 5.64473990923 5.84959022241 5.64891783792 5.87040917607 5.81507224006 5.71189642779 
300 5.67740890433 5.51605880727 5.82837289008 5.6522106072 5.77507896932 5.6835285783 5.73101705322 5.64434151178 5.56551439564 
1000 5.63060947362 5.71882553142 5.58347386309 5.64834382845 5.76016424792 5.60185198251 5.70885194231 5.76421276243 5.82805033374 
3000 5.60695797314 5.51775176506 5.58090017331 5.75432587423 5.78341325678 5.6098524646 5.78433589226 5.53355145564 5.60460013931 
10000 5.26271817801 5.23485845381 5.25238574871 6.0012713125 5.61171660987 5.10464126516 5.34469885822 5.46309243161 5.61993438334 
30000 5.16119891663 4.93832261792 5.23461388634 6.00697612272 5.60626887877 4.89858608345 5.47723535985 5.26250164562 5.51775219862 
100000 5.09418954815 4.95153765895 5.69036421559 6.1705567922 5.4831407798 4.96779450825 5.59295257479 5.60268368586 5.81070146885 
300000 5.31140190758 5.18971593925 7.26126895902 6.86024892824 6.18254924597 5.98592745685 6.09168006583 6.08874416903 6.03476310577 
1000000 5.49337242515 6.67165305573 9.26473536584 7.58934363282 7.31410996841 8.03969059796 7.41503412569 7.57134822873 7.21711325104 
3000000 5.86263576661 8.91908094958 11.8119762638 9.46046268641 9.75509408592 10.3079842795 10.0836553442 9.66242847586 8.81938651999 
10000000 6.67609848764 10.6280166865 14.4334261018 11.1047109749 11.7093515434 12.0685041935 11.7853154014 11.5302978326 9.89535040978 
