x pre jdk7 classic classic_ite wild yaro yaro_opt yaro_opt_13 triple
100 1730575 1758823 1778484 1787368 1813672 1741976 1821543 1847584 1809979
300 1751070 1733892 1792652 1818291 1831009 1774898 1815556 1795039 1764481
1000 1744260 1787052 1861393 1950697 1863364 1786439 1826435 1811067 1862860
3000 1789276 1905112 1964116 2253770 2037422 1921326 1996495 1938380 1996649
10000 1789595 2181656 2193768 2981488 2727478 2180876 2279196 2353848 2625162
30000 1955496 3186206 2784266 4379074 4992500 3232343 3586260 3370960 4351623
100000 2177886 5896551 3929422 6469546 7618635 4346588 4728989 4813444 5442794
300000 2294370 8078709 6130920 9187601 9960742 6437380 8012612 8073961 9001038
1000000 2703923 14396320 13777808 16747301 18210549 13797546 14842391 15046335 16539888
3000000 3638157 33793260 35848079 39141261 41306329 34221798 35602793 35792199 37735979
10000000 7096297 107741926 120154572 121773866 127690589 112638063 113854885 113312845 117587680 
