x pre jdk7 classic classic_ite wild yaro yaro_opt yaro_opt_13 triple
100 30726774 31484551 30739586 31664311 31005112 30837340 31029234 31772331 31687882 
300 30842767 31433530 30757332 32169555 31705350 31228804 31679473 31802452 31703826 
1000 30978174 31248584 33337543 34535734 32349147 31890150 31993035 31419156 31963691 
3000 31911707 34526961 35193534 39166534 35228712 34249136 34515544 35029583 35625182 
10000 34005146 41675549 41767077 49680940 48603274 42723394 42644049 43086366 46711613 
30000 37888406 64520005 53189520 72899807 89052097 65985224 65475733 64056227 78865865 
100000 42752355 119085250 69053963 104845417 138946551 87495326 84552639 85913185 93668450 
300000 43197070 155667653 84433176 133925184 161110597 107541898 131533697 132604701 149153129 
1000000 49221549 215783403 148712375 220668635 248978332 171617873 200166186 198727288 229175952 
3000000 62056678 378887244 303489257 413735166 423433425 331993114 353074275 370426535 
427875328 
10000000 106294073 1013753828 832474363 1096596447 1090500943 933322483 966074145 982739966 1188312441 
