x pre jdk7 classic classic_ite wild yaro yaro_opt yaro_opt_13 triple
100 77417 84642 77346 80904 81980 78373 78725 84197 86487 
300 77340 82174 79047 78337 80107 77635 79882 78931 82848 
1000 78754 80034 85809 82356 82247 81103 82281 82494 81982 
3000 81322 87566 83012 87183 79372 81583 84212 80884 85115 
10000 81511 88555 83778 95347 95767 89725 87033 83817 92295 
30000 84699 93336 91549 113817 122916 96731 100908 98575 105525 
100000 92689 115006 96061 160832 125952 103010 104725 102455 103166 
300000 97287 124641 132580 233688 197047 127215 128235 118884 123970 
1000000 110889 175830 149574 423088 182035 160770 171411 175586 178224 
3000000 151604 211479 194146 787753 232038 205571 221899 216943 226197 
10000000 209586 340120 336773 1388862 323224 312981 328386 326633 328211  
