x pre jdk7 classic classic_ite wild yaro yaro_opt yaro_opt_13 triple
100 7749240 7854317 7909469 8070690 7973684 7813724 7954499 8094189 7970821 
300 7881042 7824132 7978945 8356857 7977753 8105347 8008328 8060180 7886346 
1000 8000505 8035213 8242369 8975268 8162562 7949587 8037430 7982100 8157653 
3000 8163637 8662015 8580356 10547900 8746632 8571976 8599929 8502612 8688351 
10000 8925913 9523015 9745052 13620734 10528971 9639676 9698779 9721250 10016808 
30000 9419325 11453456 11508446 17062892 13974581 11502763 11822041 11601623 12571285 
100000 9378126 14479978 13520008 18843518 16844906 12456654 12457544 12756962 13319435 
300000 9654931 15486206 13531819 20026926 17263673 12769670 15055109 15431904 15804233 
1000000 9939543 16477107 15412945 23274309 19443090 13455945 16155397 16105563 16836026 
3000000 10735914 17762728 18183462 29370743 20924994 15438460 17122160 17820590 18644532 
10000000 11334448 25635582 29495416 51950969 27438181 21313040 23644349 24104102 25607589 
